회사명,대표자명,전화번호,공장대표주소,업종명,데이터기준일자,생산품
유한회사 성주수지,한인수,,성주군 대가면 참별로 2152,그외 기타 고무제품 제조업,2018-07-31,
은성섬유,강삼용,,성주군 선남면 유서리1길 1,연사 및 가공사 제조업,2018-07-31,
의성포장,김진한,054-931-5526,성주군 선남면 관용로 491,골판지 및 골판지상자 제조업,2018-07-31,
은진건업,조언래,,성주군 선남면 신부길 81-38,금속 조립구조재 제조업,2018-07-31,
이즈산업,김수호,054-931-4722,성주군 용암면 운용로 1215-10,기타 구조용 금속제품 제조업 외 1 종,2018-07-31,
은진건업,조언래,,성주군 선남면 신부리 59-1번지,금속 조립구조재 제조업,2018-07-31,
이안프라,남중희,054-933-5432,성주군 선남면 용신리 643번지,포장용 플라스틱 성형용기 제조업,2018-07-31,
일성고분자산업,김형락,054-932-4956,성주군 월항면 대산2길 22-59,접착제 및 젤라틴 제조업,2018-07-31,
일성테크,정성일,,성주군 선남면 소학리 1050 번지,기타 가공공작기계 제조업,2018-07-31,
전국철강,장준성,,성주군 선남면 명포1길 16,금속 조립구조재 제조업,2018-07-31,
정오테크,백원필,,성주군 선남면 선노로 55-27,"알루미늄 압연, 압출 및 연신제품 제조업",2018-07-31,
인베스트세라텍(주),안동환,054-933-9013,성주군 초전면 용봉리 308번지,기타 일반 도자기 제조업 외 1 종,2018-07-31,
일성산업,장원석,,성주군 선남면 취곡리 256번지,"산업용 오븐, 노 및 노용 버너 제조업",2018-07-31,
재훈섬유,이동희,054-931-4251,성주군 선남면 선노로 545-27,화학섬유직물 직조업,2018-07-31,
일성보일러산업,금중일,054-931-7546,성주군 선남면 나선로 1002-26,중앙난방보일러 및 방열기 제조업 외 2 종,2018-07-31,
재욱강업(주),조여근,054-933-9461,성주군 선남면 문방공단길 129-50,금속 조립구조재 제조업 외 1 종,2018-07-31,
정안철강(주),정영출,053-719-5912,성주군 대가면 참별로 2274,강관 제조업,2018-07-31,
일해섬유,김정희,054-931-5252,성주군 월항면 보암공단길 26-1,연사 및 가공사 제조업,2018-07-31,
전보산업(주),윤경오,054-932-8091,성주군 선남면 문방공단길 129-38,어망 및 기타 끈가공품 제조업,2018-07-31,
정인철강,안종태,054-931-8153,성주군 용암면 사곡길 59-8,기타 구조용 금속제품 제조업,2018-07-31,
제일산업,박찬수,054-933-4050,"성주군 선남면 나선로 966,  639",부직포 및 펠트 제조업,2018-07-31,
주성산업,이진희,,성주군 초전면 주천로 1342,비금속원료 재생업,2018-07-31,
정엔지니어링,정중식,,성주군 선남면 도성리 871-1번지,그외 기타 플라스틱 제품 제조업,2018-07-31,
제이원,이중호,,성주군 선남면 용신공단길 16,목재 깔판류 및 기타 적재판 제조업,2018-07-31,
정웅이엔지,은희권,054-931-1889,성주군 선남면 나선로 868,그외 기타 자동차 부품 제조업,2018-07-31,
조은산업,심유순,054-931-2130,성주군 선남면 도성2길 129,비 및 솔 제조업,2018-07-31,
정일금은사,김영길,053-616-2922,성주군 용암면 상언공단길 34,연사 및 가공사 제조업,2018-07-31,
제일섬유,박명근,,성주군 선남면 도성2길 79,연사 및 가공사 제조업,2018-07-31,
주성산업,"권태희,권계선",054-931-1557,"성주군 용암면 운용로 1090,",기타 직물제품 제조업,2018-07-31,
주식회사 대경산업개발,고주환,054-931-5391,성주군 선남면 도성2길 60,금속 조립구조재 제조업,2018-07-31,
주식회사 미래로,강병하,,성주군 월항면 유월리 177번지,"카펫, 마루덮개 및 유사제품 제조업",2018-07-31,
주식회사 세현,정연우,054-933-4408,성주군 초전면 봉정길 45-6,편조원단 제조업,2018-07-31,
종합도색산업,윤석재,054-932-8146,성주군 선남면 나선로 1002-11,도장 및 기타 피막처리업,2018-07-31,
주식회사 덕산 M&C,권태성,054-931-1072,성주군 초전면 주천로 1247,콘크리트관 및 기타 구조용 콘크리트제품 제조업,2018-07-31,
주식회사 금실,오승아,054-931-4998,성주군 성주읍 주천로 248-53,연사 및 가공사 제조업,2018-07-31,
주식회사 대종,김상득,054-931-4506,성주군 용암면 상언공단길 5,금속 조립구조재 제조업 외 1 종,2018-07-31,
주식회사 대명테크놀,류정기,054-933-1164,성주군 성주읍 성산리 176-8,농업 및 임업용 기계 제조업,2018-07-31,
주식회사 삼성이앤지,맹성일,054-933-6202,성주군 월항면 중포길 108-4,농업 및 임업용 기계 제조업,2018-07-31,
주식회사 에스에이치 (SH),한세욱,054-933-7696,성주군 월항면 유월공단길 60,농업 및 임업용 기계 제조업,2018-07-31,
주식회사 일신,신용황,053-650-6155,성주군 선남면 문방길 25-29,금속 조립구조재 제조업,2018-07-31,
주식회사 한양에코텍,최창식,054-931-4777,성주군 선남면 나선로 900,커튼 및 유사제품 제조업,2018-07-31,
주식회사 선농,김영환,,성주군 선남면 성주로 3478-27,농업 및 임업용 기계 제조업,2018-07-31,
주식회사 씨앤지,이현석,053-621-0161,성주군 용암면 운용로 949,기타 비료 및 질소화합물 제조업,2018-07-31,
주식회사 새한산업개발,김진아,054-933-8568,성주군 선남면 선노로 582-4,비금속원료 재생업 외 2 종,2018-07-31,
주식회사 신원금속,양명심,054-931-3081,성주군 선남면 문방공단길 124,"알루미늄 압연, 압출 및 연신제품 제조업",2018-07-31,
주식회사 원테크,윤광주,054-931-8161,성주군 선남면 선노로 604-12,커튼 및 유사제품 제조업,2018-07-31,
주식회사 우경씨앤에스,권오범,054-933-5250,성주군 선남면 명관로 446-13,그외 기타 일반목적용 기계 제조업,2018-07-31,
주식회사 제원,이명조,,성주군 용암면 기산리 166-6번지,"카펫, 마루덮개 및 유사제품 제조업",2018-07-31,
주식회사 한주,한창복,054-933-1811,성주군 선남면 도성리 602-8번지,금속파스너 및 나사제품 제조업,2018-07-31,
주은프라콘,김인섭,054-933-7663,성주군 월항면 중포길 114,그외 기타 플라스틱 제품 제조업,2018-07-31,
지에스케이,김점석,054-931-1613,성주군 선남면 선원1길 4,특수직물 및 기타직물 직조업,2018-07-31,
진성,김성규,054-933-7801,성주군 선남면 도성2길 27-14,"금속 문, 창, 셔터 및 관련제품 제조업",2018-07-31,
주식회사 이엠지전선,김승호,054-931-2611,성주군 월항면 유월공단길 15-34,기타 절연선 및 케이블 제조업,2018-07-31,
주식회사 포에스텍,이재영,054-932-4556,성주군 선남면 선원2길 77,"플라스틱 필름, 시트 및 판 제조업 외 1 종",2018-07-31,
주식회사 켐피아바이오,송현숙,054-931-6777,성주군 벽진면 성주로 2344-10,기타 비료 및 질소화합물 제조업,2018-07-31,
주식회사삼에스벤처물산,여상수,054-931-2235,성주군 선남면 도성리 1099 번지,기타 비알콜음료 제조업,2018-07-31,
준경테크,오병석,,성주군 선남면 명관로 337-91,그외 기타 자동차 부품 제조업,2018-07-31,
지지(주),장종호,054-931-3664,성주군 용암면 운용로 1478-23,금속 스프링 제조업,2018-07-31,
진엔프라,전광희,054-931-1485,성주군 선남면 용신리 542번지,합성수지 및 기타 플라스틱물질 제조업,2018-07-31,
진영텍스(주),정주영,054-933-2519,성주군 선남면 문방공단길 136-10,견직물 직조업 외 1 종,2018-07-31,
진일산업,배문환,054-931-2288,성주군 성주읍 주천로 271,부직포 및 펠트 제조업,2018-07-31,
창성산업,김성기,,성주군 용암면 본리리 19-8번지,금속 조립구조재 제조업,2018-07-31,
진산창호건설,김정곤,,성주군선남면  관화리 43-2,플라스틱 창호 제조업,2018-07-31,
진영테크,최정애,,성주군 선남면 선노로 55-24,자동차 엔진용 부품 제조업,2018-07-31,
진광,이갑수,054-933-1348,성주군 용암면 성암로 1086-4,비금속광물 분쇄물 생산업,2018-07-31,
진영글로벌 주식회사,김동식,054-933-8431,성주군 선남면 성주로 3498-24,절연 코드세트 및 기타 도체 제조업,2018-07-31,
진우섬유,박희근,054-931-9591,성주군 선남면 나선로 985,화학섬유직물 직조업,2018-07-31,
진우상사,박득헌,,성주군 선남면 유서리길 174-17,연사 및 가공사 제조업,2018-07-31,
진흥실사켐버스,이숙란,054-931-0069,성주군 선남면 취곡1길 7-8,천막 및 기타캔버스 제품 제조업,2018-07-31,
청양원,이상훈,,성주군 월항면 죽관길 55,장류 제조업,2018-07-31,
초전관광(주),정삼암,054-931-1344,성주군 초전면 용봉리 167-5번지,토목공사 및 유사용 기계장비 제조업,2018-07-31,
케이제이알로이(주),김찬영,054-933-7260,성주군 선남면 취곡리 1,분말야금제품 제조업,2018-07-31,
진원개발,지장원,,성주군 용암면 상언공단길 33,금속 조립구조재 제조업,2018-07-31,
창대산업,이 찬 영,,성주군 월항면 보암리 726-2번지,부직포 및 펠트 제조업,2018-07-31,
청록냉동냉장식품,박금자,054-933-6778,성주군 월항면 선월로 422,기타 과실·채소 가공 및 저장처리업,2018-07-31,
참별산업,정덕기,,성주군 성주읍 용산리 1001-2번지,"카펫, 마루덮개 및 유사제품 제조업",2018-07-31,
창천두부,권중호,054-932-1547,성주군 가천면 가천로 101-9,두부 및 유사식품 제조업,2018-07-31,
청운에스엔티,류승호,,성주군 선남면 선노로 55-25,금속 조립구조재 제조업,2018-07-31,
창원테크,우순자,054-931-9411,성주군 용암면 사곡공단1길 38,"산업용 섬유세척, 염색, 정리 및 가공 기계 제조업",2018-07-31,
청우산업,정우철,054-933-7927,성주군 선남면 오도리 285-1번지,플라스틱 발포 성형제품 제조업 외 1 종,2018-07-31,
초전종합농기계,김동수,054-932-8009,성주군 초전면 대장길 174,농업 및 임업용 기계 제조업,2018-07-31,
크린코리아,이위용,054-933-4692,성주군 월항면 대산2길 22-49,비금속원료 재생업,2018-07-31,
태성미래텍,노점순,054-932-2002,성주군 월항면 선월로 352,침구 및 관련제품 제조업 외 2 종,2018-07-31,
케이와이컴파니,임병용,054-932-0935,성주군 선남면 성주로 3757-13,기타 가공공작기계 제조업,2018-07-31,
크린스타생활산업,강동균,,성주군 용암면 용계리 680번지,표면광택제 및 실내가향제 제조업,2018-07-31,
취운향당,윤병인,054-933-6371,성주군 선남면 도성3길 106,표면광택제 및 실내가향제 제조업,2018-07-31,
큐피콤상사,김창열,054-931-4130,성주군 가천면 포천계곡로 255,기타 종이 및 판지 제조업,2018-07-31,
태산BMI,이상일,054-932-7763,성주군 초전면 칠선리 681번지,유압기기 제조업 외 1 종,2018-07-31,
케이제이알로이(주) 제2공장,김찬영,,성주군 선남면 명관로 337-13,분말야금제품 제조업,2018-07-31,
태명약업사,손원배,054-931-6322,성주군 초전면 용봉리 57-4번지,그외 기타 분류안된 섬유제품 제조업,2018-07-31,
태성선재,한상일,,성주군 선남면 명관로 337-10,금속선 가공제품 제조업,2018-07-31,
태우기계,진민식,,성주군 선남면 신부길 180,기타 가공공작기계 제조업,2018-07-31,
태화산업사,김종근,,성주군 월항면 대산2길 22-114,플라스틱 발포 성형제품 제조업,2018-07-31,
평창섬유,최병준,054-931-6240,성주군 선남면 선노로 604-16,연사 및 가공사 제조업,2018-07-31,
태산산업,예순옥,053-583-9676,성주군 벽진면 문덕로 58-6,부직포 및 펠트 제조업,2018-07-31,
태수산업,이영태,054-933-7511,성주군 선남면 유서리길 174-16,자동차 차체용 부품 제조업,2018-07-31,
태영섬유,송두순,,성주군 선남면 선노로 74-9,화학섬유직물 직조업,2018-07-31,
태성피엔텍,곽구대,,성주군 선남면 선노로 13,포장용 플라스틱 성형용기 제조업,2018-07-31,
태화금속,박태환,,성주군 용암면 운산길 29,알루미늄주물 주조업,2018-07-31,
태영기계,권영도,053-585-0141,성주군 선남면 취곡리 266-7번지,음·식료품 및 담배 가공기계 제조업,2018-07-31,
태창공업(주) 성주지점,여두용,054-933-2345,성주군 선남면 유서리길 87-12,그외 기타 자동차 부품 제조업,2018-07-31,
태흥STEEL,이홍원,053-581-6652,성주군 선남면 선노로 55-23,그외 기타 자동차 부품 제조업,2018-07-31,
포스무역(주),김종극,054-933-8820,성주군 선남면 문방공단길 136-10,화학섬유직물 직조업,2018-07-31,
하나섬유,박충길,054-931-3454,성주군 초전면 용봉리 384번지,연사 및 가공사 제조업,2018-07-31,
하심양초,배성원,,성주군 금수면 성주로 1941-20,"라이터, 연소물 및 흡연용품 제조업",2018-07-31,
태화보일러,전은석,,성주군 선남면 선노로 691,중앙난방보일러 및 방열기 제조업,2018-07-31,
펫트 하이텍,강병하,054-933-4102,성주군 월항면 유월공단길 36,부직포 및 펠트 제조업,2018-07-31,
평화텍스,"김동휘,오병천",054-933-4180,성주군 선남면 명관로 337-22,연사 및 가공사 제조업,2018-07-31,
투투텍스타일,김경영,,성주군 선남면 명관로 337-12,기타 편조의복 액세서리 제조업,2018-07-31,
평화농기계,최영필,054-933-6266,성주군 성주읍 성산9길 87,농업 및 임업용 기계 제조업,2018-07-31,
하나공예,박현락,,성주군 용암면 성암로 931,수동식 식품 가공기기 및 금속주방용기 제조업,2018-07-31,
평창정경,전우형,054-931-6240,성주군 선남면 용신공단길 26,연사 및 가공사 제조업,2018-07-31,
프로틴코리아,김나연,054-933-6661,성주군 선남면 도성2길 78,그외 기타 식료품 제조업,2018-07-31,
한국이기산업,이광현,054-931-2366,성주군 용암면 본리리 325번지,자동차 차체용 부품 제조업,2018-07-31,
한국포장산업,장세주,,성주군 선남면 소학리 568-2번지,"플라스틱 필름, 시트 및 판 제조업 외 1 종",2018-07-31,
한양산업(주),김삼열,054-931-0505,성주군 대가면 참별로 1983,합성수지 및 기타 플라스틱물질 제조업 외 1 종,2018-07-31,
하나금속,이정만,054-931-5329,성주군 선남면 관용로 467,금속원료 재생업,2018-07-31,
하늘담은 통나무,김대규,,성주군 선남면 명포1길 46,기타 건축용 나무제품 제조업,2018-07-31,
한국산재장애인협회(주),신동현,054-931-8228,성주군 용암면 성암로 858,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",2018-07-31,
한국산업사,염성욱,,성주군 선남면 취곡리 268-5번지,자동차용 전기장치 제조업,2018-07-31,
한국타미나(주),임영철,054-931-6831,성주군 용암면 운용로 1090,기타 직물제품 제조업,2018-07-31,
한국도시개발(주),표명성,,성주군 선남면 관화1길 21-56,플라스틱 창호 제조업,2018-07-31,
한국정밀유리,"김덕재, 이상용",054-932-1290,성주군 선남면 도성리 78 번지,판유리 가공품 제조업,2018-07-31,
한림로덱스(주)성주공장,맹흥호,054-933-6541,성주군 용암면 성암로 855,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",2018-07-31,
한진식품,조영희,,성주군 월항면 대산리 149번지,과실 및 채소 절임식품 제조업,2018-07-31,
헵시바산업,김혜경,054-931-4753,성주군 용암면 용정리 62-7 번지,구조용 금속판제품 및 금속공작물 제조업 외 10 종,2018-07-31,
현대카바링,송규태,054-933-4721,성주군 용암면 상언공단길 25-6,연사 및 가공사 제조업,2018-07-31,
한백산업,남채호,,성주군 선남면 신부길 8-10,특수직물 및 기타직물 직조업,2018-07-31,
한영팩킹(주),김지운,054-931-4867,성주군 초전면 용봉리 56-5번지,골판지 및 골판지상자 제조업,2018-07-31,
한양섬유,최창식,054-931-4777,성주군 선남면 선원리 450-1번지,커튼 및 유사제품 제조업,2018-07-31,
합자회사 아남섬유,김남용,054-932-3344,성주군 선남면 성원2길 21,스타킹 및 기타양말 제조업,2018-07-31,
현동프라스틱,박승훈,054-933-7175,성주군 선남면 선노로 20,그외 기타 플라스틱 제품 제조업,2018-07-31,
화성폴리머,김영성,,성주군 용암면 사곡공단1길 53,가공 및 재생 플라스틱원료 생산업,2018-07-31,
한일산업,김영일,054-931-5693,성주군 선남면 선원2길 43,그외 기타 자동차 부품 제조업,2018-07-31,
해평산업,구영희,,성주군 선남면 선원2길 13,연사 및 가공사 제조업,2018-07-31,
현대산업,김수태,054-931-1525,성주군 수륜면 계정4길 7-3,"플라스틱 필름, 시트 및 판 제조업 외 1 종",2018-07-31,
해안산업,최병국,,성주군 선남면 명관로 446-33,기타 구조용 금속제품 제조업,2018-07-31,
현대산업,서승우,054-932-3880,성주군 선남면 도성1길 78,비금속원료 재생업,2018-07-31,
현대산업,김분란,,성주군 선남면 관화1길 21-43,금속 조립구조재 제조업,2018-07-31,
현대테크,박숙자,,성주군 선남면 도성리 796-4,포장용 플라스틱 성형용기 제조업,2018-07-31,
현성플라스틱,박수용,054-931-8233,성주군 선남면 선노로 582-17,그외 기타 플라스틱 제품 제조업,2018-07-31,
효성산업,박태열,054-932-8377,성주군 대가면 참별로 2274,농업 및 임업용 기계 제조업,2018-07-31,
흰그루식품,양시혁,054-932-9882,성주군 금수면 어은1길 25-29,장류 제조업,2018-07-31,
현텍스,박군호,054-933-5142,성주군 선남면 나선로 882,화학섬유직물 직조업,2018-07-31,
화남산업,도재화,054-931-9966,성주군 대가면 도남2길 21,부직포 및 펠트 제조업,2018-07-31,
현진폴리머,김향연,,성주군 선남면 선월로 29,가공 및 재생 플라스틱원료 생산업,2018-07-31,
호식이푸드,김병훈,,성주군 선남면 용신리 1407번지,그외 기타 식료품 제조업,2018-07-31,
황금 ENG,정찬기,,성주군 선남면 문방1길 61-11,포장용 플라스틱 성형용기 제조업,2018-07-31,
호명건설,배복용,054-277-1064,성주군 선남면 명포1길 16,금속 조립구조재 제조업,2018-07-31,
화신코어,김상현,,성주군 용암면 선송리 163-1번지,주형 및 금형 제조업,2018-07-31,
효명테크(주),이효환,054-931-9948,성주군 선남면 선노로 540-12,그외 기타 자동차 부품 제조업,2018-07-31,
희성섬유,신명옥,,성주군 선남면 도성리 73-1번지,연사 및 가공사 제조업,2018-07-31,
흥일산업,유일흥,053-584-3272,성주군 용암면 사곡길 190,표면가공목재 및 특정 목적용 제재목 제조업,2018-07-31,
