회사명,대표자명,공장대표주소,업종명,전화번호,팩스번호,종업원수,생산품,데이터 기준일자
태산,최향순,경상남도 밀양시 삼랑진읍 단장로 55 외 1필지,그 외 기타 가구 제조업,,055-351-1311,5,욕실용 가구,2022-08-10
태산화학,"이수한, 이정숙",경상남도 밀양시 하남읍 야촌길 46,플라스틱 필름 제조업,,,2,농업용비닐,2022-08-10
태양정밀,김기호,경상남도 밀양시 산외면 율전길 87-5 (총 4 필지) 외 3필지,단추 및 유사 파스너 제조업,055-352-2128,055-353-9549,0,파스너,2022-08-10
태영산업 주식회사 ,윤종국,경상남도 밀양시 삼랑진읍 미율로 329-9 외 3필지,"라이터, 연소물 및 흡연용품 제조업",055-352-8888,070-4009-8734,100,담배 필터,2022-08-10
태영산업(주),윤종국,미율로 329-21,"라이터, 연소물 및 흡연용품 제조업 외 1 종",055-352-8888,055-356-9214,396,담배필터제조기,2022-08-10
태영산업(주),윤종국,경상남도 밀양시 삼랑진읍 미율로 321 외 9필지,"라이터, 연소물 및 흡연용품 제조업",055-352-8888,070-4009-8734,1,담배필터,2022-08-10
팍스텍,박안홍,경상남도 밀양시 부북면 사포산단중앙로 88-34,액체 펌프 제조업 외 1 종,055-355-7830,055-355-7831,10,선박용 유압부품,2022-08-10
풍진농산영농조합법인,김재흥,경상남도 밀양시 하남읍 하남로 260,곡물 도정업,055-391-7262,055-391-7263,5,보리도정,2022-08-10
필세라믹,성민조,경상남도 밀양시 하남읍 파내2길 8-11 외 2필지,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업",,055-391-3722,2,세라믹볼,2022-08-10
한국농식품산업설비협동조합,최경로,경상남도 밀양시 초동면 성만1길 50-5,농업 및 임업용 기계 제조업,,,0,농산물용건조기,2022-08-10
한국산업사,신인길,경상남도 밀양시 하남읍 명례로 100,경 인쇄업 외 1 종,,055-391-1236,1,인쇄,2022-08-10
한국선재(주),이제훈,경상남도 밀양시 하남읍 양동농공단지길 27,철강선 제조업,055-391-0155,055-391-0156,34,스텐레스강선,2022-08-10
한국소켓센타,이병석,경상남도 밀양시 초동면 초동농공단지길 21,볼트 및 너트류 제조업 외 2 종,055-391-7500,055-391-7502,18,"육각렌치볼트, 나사류 등",2022-08-10
한동식품,정성화,경상남도 밀양시 상남면 상남로 1088-10,김치류 제조업 외 1 종,055-354-2803,055-355-2806,2,단무지,2022-08-10
한림철강(주),김창환,경상남도 밀양시 삼랑진읍 미전농공단지길 83,자동차 차체용 신품 부품 제조업 외 4 종,055-356-8900,055-356-8920,6,후레임,2022-08-10
한맥(주),이철우,경상남도 밀양시 초동면 범평로 103 (총 5 필지) 외 4필지,비금속류 해체 및 선별업 외 1 종,055-391-5161,055-391-5195,62,"재생자갈,모래",2022-08-10
한백기공,김평하,경상남도 밀양시 부북면 춘화농공단지길 53,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",055-345-2611,055-345-2710,2,"크레인, 호이스트",2022-08-10
한성텍스타일(주),도준우,경상남도 밀양시 부북면 사포공단1길 8 (총 3 필지) 외 2필지,모 방적업,055-353-9871,055-353-9873,41,방모사,2022-08-10
한영금속공업(주),곽시영,경상남도 밀양시 하남읍 하남산단로 109,선철주물 주조업 외 2 종,055-391-3161,051-325-3165,37,자동차부품 주물소재,2022-08-10
한영목재,김병주,경상남도 밀양시 삼랑진읍 율동리 197-17번지,목재 깔판류 및 기타 적재판 제조업,055-355-2109,055-355-1109,3,목재포장용상자,2022-08-10
한일기업합자회사,배성한,경상남도 밀양시 상남면 상남로 1095,기타 목재가구 제조업 외 1 종,055-354-9990,055-355-5775,23,"학생용책상 걸상,도서실집기류",2022-08-10
한일지관공업사,지형수,경상남도 밀양시 진장2길 4-1 (삼문동),"적층, 합성 및 특수표면처리 종이 제조업",,055-356-4286,4,골판지,2022-08-10
한일프라스틱,구기홍,경상남도 밀양시 삼랑진읍 우곡1길 89 외 2필지,기타 건축용 플라스틱 조립제품 제조업,055-345-6969,055-354-3850,2,플라스틱 창호,2022-08-10
한황산업(주)밀양공장,박준흠,경상남도 밀양시 하남읍 양동리 828-1번지,선철주물 주조업 외 1 종,055-548-0700,051-980-6781,59,자동차 부품 외,2022-08-10
헤펠레목공방,서동훈,경상남도 밀양시 용평로 207 (용평동),주방용 및 음식점용 목재가구 제조업,,055-353-9168,0,가구 등,2022-08-10
현대오토솔루션(주),추병두,경상남도 밀양시 부북면 사포산단1길 90-11,자동차 차체용 신품 부품 제조업 외 2 종,055-351-0101,055-351-0663,61,자동차 샤시제용 도어 임팩드바,2022-08-10
현대테크,김진국,경상남도 밀양시 초동면 초동로 33,육상 금속 골조 구조재 제조업 외 1 종,055-391-5233,055-391-5234,1,철구조물,2022-08-10
협성섬유공업사,노형식,경상남도 밀양시 하남읍 양동농공단지길 57-18,화학섬유 방적업,055-391-5172,055-391-5168,10,의류용 원사,2022-08-10
협진엔지니어링,최연학,경상남도 밀양시 삼랑진읍 미전농공단지길 69,그 외 자동차용 신품 부품 제조업 외 3 종,055-338-8778,055-338-8780,32,자동차부품,2022-08-10
형제요업,홍정식,경상남도 밀양시 부북면 사포로 452,정형 내화 요업제품 제조업 외 1 종,055-354-0025,55,0,"세라믹벽돌,세라믹팩",2022-08-10
호진산업(주),이수용,경상남도 밀양시 삼랑진읍 용전산업단지길 89,그 외 기타 분류 안된 비금속 광물제품 제조업 외 3 종,055-352-5366,055-352-5369,23,제강용 부자재,2022-08-10
혹스인더스트리 주식회사,장수연,경상남도 밀양시 삼랑진읍 단장로 61 외 1필지,기타 플라스틱 발포 성형제품 제조업,055-343-1331,055-351-1803,4,고밀도 우레탄 블럭,2022-08-10
홍스틸(주)밀양공장,김채홍,"경상남도 밀양시 부북면 사포산단1길 90-34, 홍스틸(주) 밀양공장",금속 단조제품 제조업 외 4 종,055-356-4161,055-356-9162,22,자동차 부품 외,2022-08-10
화 세라믹스,김종호,경상남도 밀양시 상남면 이연1길 23-26 외 1필지,그 외 기타 전자부품 제조업 외 1 종,055-356-6318,,5,반도체 장비부품,2022-08-10
화성스텐,윤명식,경상남도 밀양시 삼랑진읍 미전농공단지길 41,그 외 기타 분류 안된 금속 가공 제품 제조업 외 5 종,055-351-3189,,0,자동차부품 및 스텐레스 등,2022-08-10
환경에너지솔루션㈜,이용현,경상남도 밀양시 삼랑진읍 미율로 405,액체 여과기 제조업,031-785-1052,031-785-1009,6,액체여과기,2022-08-10
황금제과,정정두,경상남도 밀양시 산외면 남기동길 181,빵류 제조업 외 1 종,055-354-3756,055-354-3754,3,곡분과자등,2022-08-10
효원산업,안미옥,경상남도 밀양시 산외면 엄광중앙로 80,육상 금속 골조 구조재 제조업,055-354-1576,055-354-1556,2,철구조물 건설가설자재,2022-08-10
힉스,김선빈,경상남도 밀양시 초동면 신연로 246-1 외 2필지,배전반 및 전기 자동제어반 제조업,051-831-8455,0504-154-7250,1,컨트롤판넬,2022-08-10
